CODE,MDC,PDC,CC,MAINCC,CCROW,DCLMAIN,HIV_AX,TRAUMA,SEX,ACCPDX,AGEDUSE,AGEMIN,AGEMAX,AGEDMIN,MOSDX
A660,09,9D,False,,0,,,N,B,Y,N,0,124,0,0.0
A661,09,9D,True,A661,0,A661,,N,B,Y,N,0,124,0,0.0
A662,09,9C,True,A661,99,A661,,N,B,Y,N,0,124,0,0.0
A663,09,9C,True,A661,99,A661,,N,B,Y,N,0,124,0,0.0
A664,09,9C,True,A661,0,A661,,N,B,Y,N,0,124,0,0.0
A665,03,3C,False,,0,,,N,B,Y,N,0,124,0,0.0
A666,08,8G,False,,0,,,N,B,Y,N,0,124,0,0.0
A667,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A668,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A669,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A670,09,9D,False,,0,,,N,B,Y,N,0,124,0,0.0
A671,09,9D,True,A661,99,A671,,N,B,Y,N,0,124,0,0.0
A672,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A673,09,9D,True,A661,0,A671,,N,B,Y,N,0,124,0,0.0
A679,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A680,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A681,18,18H,True,A681,0,A661,,N,B,Y,N,0,124,0,0.0
A689,18,18H,True,A681,99,A661,,N,B,Y,N,0,124,0,0.0
A690,03,3C,True,A690,99,A690,,N,B,Y,N,0,124,0,0.0
A691,03,3C,True,A691,99,A690,,N,B,Y,N,0,124,0,0.0
A692,18,18H,True,A692,99,A661,,N,B,Y,N,0,124,0,0.0
A698,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A699,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A70,18,18H,True,A70,99,A70,,N,B,Y,N,0,124,0,0.0
A710,02,2A,False,,0,,,N,B,Y,N,0,124,0,0.0
A711,02,2A,True,A711,99,A711,,N,B,Y,N,0,124,0,0.0
A719,02,2A,False,,0,,,N,B,Y,N,0,124,0,0.0
A740,02,2D,False,,0,,,N,B,Y,N,0,124,0,0.0
A748,18,18H,True,A748,99,A748,,N,B,Y,N,0,124,0,0.0
A749,12,12C,False,,0,,,N,B,Y,N,0,124,0,0.0
A749,13,13D,False,,0,,,N,B,Y,N,0,124,0,0.0
A750,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A751,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A752,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A753,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A759,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A770,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A771,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A772,18,18H,True,A750,0,A750,,N,B,Y,N,0,124,0,0.0
A773,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A778,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A779,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A78,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A790,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A791,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A798,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A799,18,18H,True,A750,99,A750,,N,B,Y,N,0,124,0,0.0
A800,01,1K,True,A800,99,A800,,N,B,Y,N,0,124,0,0.0
A801,01,1K,True,A800,0,A800,,N,B,Y,N,0,124,0,0.0
A802,01,1K,True,A800,0,A800,,N,B,Y,N,0,124,0,0.0
A803,01,1K,True,A800,99,A800,,N,B,Y,N,0,124,0,0.0
A804,18,18F,True,A804,99,A800,,N,B,Y,N,0,124,0,0.0
A809,01,1K,True,A800,99,A800,,N,B,Y,N,0,124,0,0.0
A810,01,1D,True,A810,99,A810,,N,B,Y,N,0,124,0,0.0
A811,01,1D,True,A811,99,A810,,N,B,Y,N,0,124,0,0.0
A812,01,1D,True,A810,99,A810,B,N,B,Y,N,0,124,0,0.0
A818,01,1D,True,A810,99,A810,B,N,B,Y,N,0,124,0,0.0
A819,01,1D,True,A810,99,A810,B,N,B,Y,N,0,124,0,0.0
A820,01,1K,True,A820,0,A820,,N,B,Y,N,0,124,0,0.0
A821,01,1K,True,A820,99,A820,,N,B,Y,N,0,124,0,0.0
A829,01,1K,True,A820,99,A820,,N,B,Y,N,0,124,0,0.0
A830,01,1K,True,A820,99,A830,,N,B,Y,N,0,124,0,0.0
A831,01,1K,True,A820,0,A830,,N,B,Y,N,0,124,0,0.0
A832,01,1K,False,,0,,,N,B,Y,N,0,124,0,0.0
A833,01,1K,False,,0,,,N,B,Y,N,0,124,0,0.0
A834,01,1K,True,A820,99,A830,,N,B,Y,N,0,124,0,0.0
A835,01,1K,True,A820,99,A830,,N,B,Y,N,0,124,0,0.0
A836,01,1K,False,,0,,,N,B,Y,N,0,124,0,0.0
A838,01,1K,True,A820,99,A830,,N,B,Y,N,0,124,0,0.0
A839,01,1K,True,A820,99,A830,,N,B,Y,N,0,124,0,0.0
A840,01,1K,True,A820,99,A830,,N,B,Y,N,0,124,0,0.0
A841,01,1K,False,,0,,,N,B,Y,N,0,124,0,0.0
